agrupacion_id,eleccion_id,nombre,agrupacioninterna
0176,1,POPULAR DE LA RECONSTRUCCION,
0033,1,NACIONALISTA CONSTITUCIONAL - UNIR,
0156,1,ACCION CHAQUEÑA,
0005,1,DEMOCRATA CRISTIANO,
0157,1,DE ACCION CHUBUTENSE,
0151,1,INDEPENDIENTE DEL CHUBUT,
0537,1,FRENTE PROGRESISTA,
0535,1,UNIFICACION CIVICA REPUBLICANA,
0196,1,CONSERVADOR POPULAR,
0186,1,DE TRABAJADORES POR EL SOCIALISMO (PTS),
0065,1,UNION CELESTE Y BLANCO,
0152,1,MOVIMIENTO POPULAR NEUQUINO,
0132,2,Alianza Frente Popular                                                                              ,
0133,2,Alianza Compromiso Federal                                                                          ,
0137,2,Alianza Unión para el Desarrollo Social                                                             ,
0160,2,Nuevo Encuentro                                                                                     ,
0047,2,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,
0131,2,Alianza Frente para la Victoria                                                                     ,
0000,2,"",
0135,2,Alianza Frente de Izquierda y de los Trabajadores                                                   ,
0134,2,Alianza Frente Amplio Progresista                                                                   ,
0220,2,Proyecto Sur                                                                                        ,
0231,2,Partido Auténtico de los Cristianos de la Pcia. de Bs.As.                                           ,
0222,2,Agrupación Ciudadana                                                                                ,
0250,2,Con Vocación por San Isidro                                                                         ,
0236,2,Frente Social de la Pcia. Bs.As.                                                                    ,
0251,2,Unión Vecinalista de Unidad para Todos                                                              ,
0254,2,Unión Vecinal de Trenque Lauquen                                                                    ,
0255,2,Movimiento Vecinal del Pdo. Tres Arroyos                                                            ,
0227,2,Integración Vecinalista Rosaleña                                                                    ,
0302,2,Partido de la Ciudad en Acción                                                                      ,
0623,2,Alianza Coalición Cívica - Afirmación para una República Igualitaria ARI                            ,
0625,2,Alianza Frente de Izquierda y de los Trabajadores                                                   ,
0036,2,Partido Autonomista                                                                                 ,
0601,2,Alianza Compromiso Federal                                                                          ,
0616,2,Alianza PRO - Propuesta Republicana                                                                 ,
0617,2,Alianza Unión para el Desarrollo Social                                                             ,
0023,2,Unión Popular                                                                                       ,
0608,2,Alianza Frente Amplio Progresista                                                                   ,
0622,2,Alianza Proyecto Sur                                                                                ,
0256,2,Acción por Villarino                                                                                ,
0243,2,Nuevos Aires                                                                                        ,
0055,2,Pro-Propuesta Republicana                                                                           ,
0260,2,Integración Vecinal                                                                                 ,
0266,2,Progreso Social                                                                                     ,
0603,2,Alianza Frente para la Victoria                                                                     ,
0178,2,Movimiento Independiente Renovador                                                                  ,
0005,2,Partido Demócrata Cristiano                                                                         ,
0003,2,Unión Cívica Radical                                                                                ,
0177,2,Movimiento de Participación Ciudadana                                                               ,
