lista_id,agrupacion_id,eleccion_id,nombre
3011,0003,1,ROJA - AMIGOS DEL PUEBLO
0000,0050,1,""
0000,0153,1,""
0000,0506,1,""
3017,0003,1,IDENTIDAD RADICAL - LISTA I
3018,0003,1,FUERZA RENOVADORA - LISTA M
3019,0003,1,ESPACIO ABIERTO - LISTA B
3020,0003,1,MORENA-ROJA Y BLANCA - LISTA A
3021,0003,1,INTRANSIGENCIA - LISTA R
0000,0511,1,""
0000,0503,1,""
3022,0003,1,DIPUTADOS AL CONGRESO - LISTA E
0000,0022,1,""
0000,0507,1,""
0000,0155,1,""
0000,0068,1,""
0000,0063,1,""
0000,0525,1,""
0000,0181,1,""
0000,0167,1,""
3042,0501,1,A-LISTA 2 CELESTE Y BLANCA K
3043,0501,1,B-LISTA AZUL PERONISMO CAUSA POPULAR
3041,0003,1,B-LISTA MILITANCIA COMPROMISO Y PARTICIPACION
3040,0003,1,A-LISTA ROJA Y BLANCA
0000,0193,1,""
0000,0158,1,""
0000,0003,1,""
0000,0177,1,""
0000,0198,1,""
0000,0505,1,""
3012,0003,1,P. A. S.
0000,0191,1,""
3035,0003,1,A 3.2-LISTA ROJA Y BLANCA COAL.PROGR.
0000,0008,1,""
3029,0513,1,RENOVACION Y CAMBIO
3030,0513,1,MOVIMIENTO RENOVADOR AMPLIO
3027,0513,1,JUNTOS POR LA PAMPA
3028,0513,1,INTEGRACION
3007,0520,1,UNIDAD
3008,0520,1,RAUL ALFONSIN
0000,0211,1,""
0000,0515,1,""
0000,0523,1,""
0000,0160,1,""
3034,0003,1,A 3.4-LISTA E- UN COMPROMISO RESPONSABLE
0000,0533,1,""
3031,0003,1,A 3.1-LISTA B-LI.DE.RA.
0000,0166,1,""
3032,0003,1,A 3.2-LISTA C- LEGISLAR POR LA VIDA
3033,0003,1,A 3.3-LISTA D-CONVICCION REPUBLICANA
0000,0526,1,""
0000,0530,1,""
0000,0176,1,""
0000,0033,1,""
3057,0504,1,LISTA F - UNA NUEVA ARGENTINA
3058,0504,1,LISTA G - CAMBIO REAL
3052,0504,1,LISTA A - COMPROMETIDOS CON LA GENTE
3053,0504,1,LISTA B - GANEMOS EL FUTURO
0000,0156,1,""
3054,0504,1,LISTA C - POR UN CHACO SEGURO Y PRODUCTIVO
3055,0504,1,LISTA D - POR LA LIBERTAD Y LA IGUALDAD
3056,0504,1,LISTA E - PROGRESO Y JUSTICIA
3062,0005,1,LISTA A-CATAMARCA POPULAR
3015,0003,1,"LISTA OPCION AL CAMBIO A"""""
3016,0003,1,"LISTA MOV. DE RECUPERACION CHUBUTENSES B"""""
0000,0157,1,""
3013,0151,1,"LISTA FRENTE POPULAR F"""""
3014,0151,1,"LISTA AFILIADOS DEL PICH P"""""
3063,0005,1,LISTA B-AZUL Y ROJA
0000,0537,1,""
3061,0502,1,LISTA D-MILITANCIA POPULAR
0000,0535,1,""
3069,0502,1,LISTA B-MILITANTES DE LA REPUBLICA ARGENTINA MI.RA
3070,0502,1,LISTA C-RENOVACION RADICAL POR CATAMARCA
0000,0196,1,""
3036,0003,1,B 3.1-MOV. POR LA DEMOCRACIA SOCIAL
0000,0186,1,""
0000,0005,1,""
0000,0065,1,""
0000,0152,1,""
0000,0133,2,""
0000,0137,2,""
0000,0160,2,""
0000,0047,2,""
0000,0131,2,""
3107,0543,3,LISTA E: MARIO ABEL AMAYA
3108,0543,3,LISTA F: ARTURO ILLIA
3109,0543,3,LISTA G: FORO AMPLIO PROGRESISTA (FAP)
0000,0060,3,""
0000,0064,3,""
0000,0181,3,""
0000,0185,3,""
0000,0186,3,""
0000,0188,3,""
3101,0501,3,LISTA N.1 CELESTE Y BLANCA K
3102,0501,3,LISTA N.2 AMARILLA MUP
0000,0272,3,""
0000,0276,3,""
3017,0504,3,ES POSIBLE BUENOS AIRES - P
3018,0504,3,JUSTICIA Y DIGNIDAD - M
0000,0061,3,""
0000,0164,3,""
0000,0501,3,""
0000,0504,3,""
0000,0548,3,""
0000,0549,3,""
3059,0003,3,LISTA A  PARTICIPACION Y PROPUESTA
3060,0003,3,LISTA B  ALTERNATIVA Y DIGNIDAD PARTIDARIA
0000,0008,3,""
0000,0038,3,""
3137,0527,3,COMPROMISO POR EL FUTURO
3138,0527,3,ES AHORA
3139,0527,3,IDENTIDAD Y COMPROMISO
3061,0528,3,LISTA  A  COALICION CIVICA ARI
3062,0528,3,LISTA  B  FRENTE AMPLIO PROGRESISTA
3297,0504,3,LISTA 22 - PERONIS. PARTICIP.
3298,0504,3,LISTA 60 - ATENEO GRAL. PEDERN.
3299,0504,3,LISTA 102 - CELESTE UNID. PEDER
3300,0504,3,LISTA 103
3301,0504,3,LISTA 104
3302,0504,3,LISTA 312 - JOSE IGNACIO RUCCI
3142,0514,3,RENOVACION Y UNIDAD
3145,0514,3,UNEN SAN LUIS
3213,0514,3,CANTERA UNIDA
3264,0514,3,RENOVACION JUNTOS POR EL CAMBIO
3303,0514,3,COALICION SUR
3304,0514,3,UNIDAD SOCIALISTA
3283,0150,3,LISTA AZUL
3252,0159,3,LISTA A
3253,0159,3,LISTA B
3254,0159,3,LISTA C
3255,0159,3,LISTA D
3256,0159,3,LISTA E
3257,0159,3,LISTA F
3258,0159,3,LISTA G
3259,0159,3,LISTA H
3284,0160,3,LISTA 1
3305,0161,3,LISTA A
3211,0501,3,KOLINA
3260,0501,3,AGRUPACION MILES
3262,0501,3,MAS SAN LUIS
3263,0501,3,UNIDOS Y ORGANIZADOS
0000,0324,3,""
0000,0514,3,""
0000,0540,3,""
0000,0541,3,""
0000,0550,3,""
0000,0068,3,""
0000,0187,3,""
0000,0234,3,""
3001,0262,3,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS
3002,0262,3,LISTA B - REAFIRMACION
3003,0262,3,LISTA C - RECUPERACION DEMOCRATICA
3004,0262,3,LISTA D - RENOVACION
0000,0325,3,""
3005,0502,3,LISTA JUNTOS
3006,0502,3,LISTA SUMA MAS
3007,0502,3,LISTA COALICION SUR
3008,0502,3,LISTA PRESIDENTE ILLIA
0000,0503,3,""
3009,0504,3,SIGLO 21 LETRA -A
0000,0506,3,""
3110,0002,3,LISTA  UNIDOS POR EL PROGRESO Y EL DESARROLLO  - LETRA  A
3111,0002,3,LISTA  UNIDAD PERONISTA  - LETRA  B
3113,0003,3,LISTA  FUERZA Y COMPROMISO RADICAL  - LETRA  A
3115,0003,3,LISTA  VALORES Y FUTURO  - LETRA  C
0000,0158,3,""
0000,0174,3,""
0000,0199,3,""
0000,0544,3,""
3148,0501,3,LISTA L - FRENTE MILITANTE PERONISTA
3149,0501,3,LISTA M - LA AUTENTICA MILITANCIA
3150,0501,3,LISTA P - AGRUPACION PERONISTA SOLIDARIDAD
3151,0501,3,LISTA Z - AGRUPACION 27 DE OCTUBRE
0000,0518,3,""
3123,0519,3,LISTA A - UNIDAD
3124,0519,3,LISTA B - SOMOS PARTE
0000,0014,3,""
0000,0179,3,""
0000,0182,3,""
0000,0218,3,""
3118,0501,3,LISTA K - 17 DE OCTUBRE
3119,0501,3,LISTA B - JUAN DOMINGO CHACO
3120,0501,3,LISTA H - MODELO ARGENTINO
3121,0501,3,LISTA V - RAZON DE VIDA EVITA
3122,0501,3,LISTA C - UNIDAD Y LEALTAD
3147,0501,3,LISTA F - JOSE HERNANDEZ
3010,0504,3,LISTA -A- UNO DE NOSOTROS
3011,0504,3,LISTA B - ACUERDO PATRIOTICO
3012,0504,3,LISTA C - UPAU UNION PARA UNA ARGENTINA UNIDA
3013,0504,3,LISTA D - TODOS UNIDOS
3014,0504,3,LISTA E - UNIDOS ES MEJOR
3015,0504,3,LISTA F - REFUNDACION DEMOCRATA CRISTIANA
3288,0162,3,LISTA VECINALISTAS DE PIE
3279,0504,3,LISTA 211
3280,0504,3,LISTA 222
3306,0504,3,LISTA 212 - UNIDOS POR SAN MARTIN
3205,0501,3,FRENTE PARA LA VICTORIA
3200,0504,3,COMPROMISO AYACUCHO
3201,0504,3,INCLUSION + COMPROMISO
3202,0504,3,LISTA 14
3203,0504,3,NUEVOS AYACUCHO
3199,0514,3,CAUSA POPULAR
3209,0504,3,LISTA 217 - UNIDOS POR BELGRANO
3284,0504,3,LISTA 1
3210,0514,3,UNIDOS POR BELGRANO
3063,0003,3,POR MISIONES
3064,0003,3,ALTERNATIVA RADICAL
0000,0050,3,""
3066,0501,3,LISTA LA FUERZA DE LA JUVENTUD
3067,0501,3,LISTA CELESTE Y BLANCA LETRA K
0000,0529,3,""
3069,0531,3,LISTA UNIDOS POR LA JUSTICIA Y A DIGNIDAD
3070,0531,3,LISTA CAMIONEROS CON LA GENTE
3071,0531,3,LISTA CULTURA DE TRABAJO
0000,0023,3,""
0000,0040,3,""
3072,0153,3,LETRA A LISTA AZUL
3073,0153,3,LETRA B LISTA AZUL Y BLANCA
0000,0166,3,""
3074,0501,3,LISTA 2 COLOR CELESTE Y BLANCA K
3075,0501,3,AMARILLO LETRA E
3076,0532,3,ELEGI CORAJE Y TRANSPARENCIA
3077,0532,3,COMPROMISO CON NEUQUEN
0000,0533,3,""
3112,0002,3,LISTA  DESCAMISADOS  - LETRA  C
3114,0003,3,LISTA  ANA CACHIN PRESENTE  - LETRA  B
0000,0069,3,""
0000,0201,3,""
3308,0510,3,CONCERTACION PLURAL - LISTA 2
3331,0514,3,RENOVACION - MK
0000,0364,3,""
3116,0508,3,LIBERTAD PAZ Y COMPROMISO POR CATAMARCA
3117,0508,3,ALTERNATIVA PROGRESISTA
0000,0509,3,""
3078,0003,3,LISTA ROJO MAS ROJO A
3079,0003,3,LISTA ROJA Y BLANCA B
3080,0003,3,LISTA BLANCA MAS BLANCA C
3081,0154,3,RECUPERACION FEDERAL LISTA NARANJA 151 A
3082,0154,3,LISTA 151 B
0000,0534,3,""
3020,0003,3,IDENTIDAD RADICAL - LETRA I
3021,0003,3,INTEGRACION PARA UNA CONFLUENCIA RADICAL - LETRA A
3022,0003,3,CAMBIO RADICAL - LETRA C
0000,0047,3,""
0000,0063,3,""
0000,0191,3,""
3023,0217,3,DEMOCRACIA EN LIBERTAD - LETRA B
3024,0217,3,GENTE NUEVA - LETRA A
3025,0217,3,REFUNDACION POPULAR - LETRA R
3026,0512,3,MOVIMIENTO DE UNIDAD PERONISTA - LETRA S
3027,0512,3,FRENTE RENOVADOR - LETRA M
0000,0003,3,""
3128,0501,3,FRENTE JUSTICIALISTA PARA LA VICTORIA
3129,0501,3,BASTA
0000,0545,3,""
3125,0546,3,LISTA A - UNIDAD PROGRESISTA
3126,0546,3,LISTA B - NO A LA RE-RE-ELECCION
3127,0546,3,LISTA C - PASO AL FRENTE
3084,0002,3,LISTA:  EL CAMBIO SOMOS NOSOTROS  - LETRA:  B
3085,0002,3,LISTA:  LEALTAD 17 DE OCTUBRE - LETRA:  C
0000,0054,3,""
0000,0155,3,""
0000,0200,3,""
0000,0203,3,""
0000,0216,3,""
0000,0535,3,""
0000,0536,3,""
0000,0156,3,""
0000,0168,3,""
3090,0504,3,LISTA ACTUAR UNIDOS POR SAN JUAN
3091,0504,3,LISTA SEGURIDAD Y JUSTICIA
3092,0504,3,LISTA UNIDAD
